,Repo,Contributor,Contributions
6579,4372486,jzimdars,1
7130,4372486,adrazich,1
4287,4372486,qrush,20
2646,4372486,dhh,2
6123,4372486,georgeclaghorn,4
8086,4372486,jimmackenzie,14
8696,4403738,openaphid,54
6006,4403738,siegfriedpammer,1
3941,4409634,LnnrtS,1
4919,4409634,iFreilicht,2
5456,4409634,lathoub,21
1389,4409634,ivankravets,4
5675,4409634,kant,1
5800,4409634,insolace,3
924,4409634,franky47,388
952,4409634,DavidMenting,1
2755,4409634,jarosz,4
4203,4409634,muxa,1
2779,4441536,ivaswin,1
4030,4441536,ivankravets,3
5262,4441536,rweather,262
3696,4441536,kotl,1
5430,4441536,niccolomachiavelli678,1
1975,4441536,ciband,1
2598,4441536,AndrolGenhald,1
5040,4441536,rpoisel,1
8641,4441536,projectgus,2
1763,4441536,evanwang0,1
2335,4468556,thedinuka,4
3323,4468556,jzaki,7
7567,4468556,schappim,2
4498,4468556,askpete,6
3759,4695476,thomasxiii,19
1347,4780217,Lord-Nightmare,1
990,4780217,going-digital,8
644,4805119,mattebb,94
75,4805119,ideasman42,1
3479,4855377,manifestinteractive,13
2128,4862344,linconz,1
3348,4862344,tom-dignan,2
5396,4862344,fabioranieri,4
6992,4862344,RomanTruba,18
5159,4862344,Sash0k,3
5596,4862344,goblindegook,5
1563,5194068,mmin18,29
4637,5196635,jwheare,18
6993,5196635,c99koder,2640
4790,5196635,andrew659,1
1994,5196635,The0x539,3
315,5227476,joeyoung,29
6410,5363094,robotkid,1
3336,5363094,sdmeijer,12
2127,5363094,hamsolo474,3
1002,5363094,ianjosephwilson,21
58,5363094,kovrus,3
2825,5363094,thearn,93
2492,5363094,Apocrathia,1
3884,5363094,jardous,1
4706,5499296,sawhney,3
672,5499296,dveselov,10
6407,5499296,cmackenziek,3
4297,5499296,nryoung,147
6125,5499296,jxtcman,3
3246,5499296,kngspook,3
4840,5499296,jabagawee,25
8803,5499296,ConanChou,3
6881,5499296,utsavgupta,3
526,5499296,travistrle,8
3154,5537121,justinwh,5
